centrality	0	100 4.0 0.5
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
9.75	9.5	10	7.77E-09	3.13E-10	-3.13E-10	7.69E-10	-7.69E-10
11	10	12	3.00E-09	8.75E-11	-8.75E-11	2.97E-10	-2.97E-10
13	12	14	7.60E-10	2.79E-11	-2.79E-11	7.81E-11	-7.81E-11
15	14	16	2.29E-10	1.65E-11	-1.65E-11	2.60E-11	-2.60E-11
17	16	18	7.03E-11	1.00E-11	-1.00E-11	8.68E-12	-8.68E-12
19	18	20	3.24E-11	6.70E-12	-6.70E-12	4.39E-12	-4.39E-12
21	20	22	0	0	0	0	0
23.5	22	25	0	0	0	0	0
							
centrality	40	60  3.3 0.3
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
1.25	1	1.5	0.01213	3.60E-05	-3.60E-05	0.001092	-0.001092
1.75	1.5	2	0.00195	8.13E-06	-8.13E-06	0.0001813	-0.0001813
2.25	2	2.5	0.0004498	2.96E-06	-2.96E-06	4.23E-05	-4.23E-05
2.75	2.5	3	0.0001247	1.30E-06	-1.30E-06	1.18E-05	-1.18E-05
3.25	3	3.5	3.89E-05	6.61E-07	-6.61E-07	3.74E-06	-3.74E-06
3.75	3.5	4	1.32E-05	3.33E-07	-3.33E-07	1.27E-06	-1.27E-06
4.25	4	4.5	4.71E-06	1.84E-07	-1.84E-07	4.57E-07	-4.57E-07
4.75	4.5	5	2.00E-06	1.21E-07	-1.21E-07	1.94E-07	-1.94E-07
5.25	5	5.5	8.90E-07	7.24E-08	-7.24E-08	8.72E-08	-8.72E-08
5.75	5.5	6	4.23E-07	3.30E-09	-3.30E-09	4.15E-08	-4.15E-08
6.25	6	6.5	2.20E-07	2.26E-09	-2.26E-09	2.17E-08	-2.17E-08
6.75	6.5	7	1.15E-07	1.58E-09	-1.58E-09	1.14E-08	-1.14E-08
7.25	7	7.5	6.58E-08	1.09E-09	-1.09E-09	6.52E-09	-6.52E-09
7.75	7.5	8	3.85E-08	8.07E-10	-8.07E-10	3.81E-09	-3.81E-09
8.25	8	8.5	2.27E-08	5.91E-10	-5.91E-10	2.25E-09	-2.25E-09
8.75	8.5	9	1.46E-08	4.40E-10	-4.40E-10	1.44E-09	-1.44E-09
9.25	9	9.5	9.00E-09	3.42E-10	-3.42E-10	8.91E-10	-8.91E-10
9.75	9.5	10	5.89E-09	2.94E-10	-2.94E-10	5.83E-10	-5.83E-10
11	10	12	2.33E-09	7.66E-11	-7.66E-11	2.31E-10	-2.31E-10
13	12	14	6.09E-10	2.47E-11	-2.47E-11	6.25E-11	-6.25E-11
15	14	16	1.78E-10	1.50E-11	-1.50E-11	2.02E-11	-2.02E-11
17	16	18	6.06E-11	8.52E-12	-8.52E-12	7.48E-12	-7.48E-12
