centrality	0	10  310.75   32.91
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
2.25	2	2.5	0.01829509	0.000189884	-0.000189884	0.00143365	-0.00143365
2.75	2.5	3	0.004407103	4.23E-05	-4.23E-05	0.000345185	-0.000345185
3.25	3	3.5	0.001253962	1.13E-05	-1.13E-05	0.000105186	-0.000105186
3.75	3.5	4	0.000398726	3.40E-06	-3.40E-06	3.59633E-05	-3.59633E-05
4.25	4	4.5	0.000144873	1.21E-06	-1.21E-06	1.30683E-05	-1.30683E-05
4.75	4.5	5	5.80E-05	4.74E-07	-4.74E-07	5.23231E-06	-5.23231E-06
5.25	5	5.5	2.63E-05	2.10E-07	-2.10E-07	2.55623E-06	-2.55623E-06
5.75	5.5	6	1.24E-05	1.01E-07	-1.01E-07	1.20536E-06	-1.20536E-06
6.25	6	6.5	6.33E-06	5.38E-08	-5.38E-08	6.15103E-07	-6.15103E-07
6.75	6.5	7	3.37E-06	3.11E-08	-3.11E-08	3.27096E-07	-3.27096E-07
7.25	7	7.5	1.91E-06	1.91E-08	-1.91E-08	1.85765E-07	-1.85765E-07
7.75	7.5	8	1.10E-06	1.23E-08	-1.23E-08	1.06837E-07	-1.06837E-07
8.25	8	8.5	6.71E-07	7.51E-09	-7.51E-09	7.08759E-08	-7.08759E-08
8.75	8.5	9	4.23E-07	5.06E-09	-5.06E-09	4.48723E-08	-4.48723E-08
9.25	9	9.5	2.63E-07	3.68E-09	-3.68E-09	2.78304E-08	-2.78304E-08
9.75	9.5	10	1.82E-07	2.68E-09	-2.68E-09	1.93031E-08	-1.93031E-08
11	10	12	6.78E-08	7.07E-10	-7.07E-10	7.75135E-09	-7.75135E-09
13	12	14	1.91E-08	3.42E-10	-3.42E-10	2.25692E-09	-2.25692E-09
15	14	16	6.20E-09	1.86E-10	-1.86E-10	7.69182E-10	-7.69182E-10
17	16	18	2.22E-09	1.17E-10	-1.17E-10	2.99184E-10	-2.99184E-10
19	18	20	8.20E-10	7.71E-11	-7.71E-11	1.18386E-10	-1.18386E-10

centrality	0	20  267.85  40.48					
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	1.362523	0.03106076	-0.03106076	0.097639398	-0.097639398
1.75	1.5	2	0.2348512	0.004018315	-0.004018315	0.017615472	-0.017615472
2.25	2	2.5	0.04648328	0.000678908	-0.000678908	0.003695603	-0.003695603
2.75	2.5	3	0.01094643	0.00015014	-0.00015014	0.000869226	-0.000869226
3.25	3	3.5	0.003009312	3.91E-05	-3.91E-05	0.000255539	-0.000255539
3.75	3.5	4	0.00094147	1.18E-05	-1.18E-05	8.58066E-05	-8.58066E-05
4.25	4	4.5	0.00033538	4.12E-06	-4.12E-06	3.05767E-05	-3.05767E-05
4.75	4.5	5	0.000131885	1.61E-06	-1.61E-06	1.20189E-05	-1.20189E-05
5.25	5	5.5	6.02E-05	7.19E-07	-7.19E-07	5.90283E-06	-5.90283E-06
5.75	5.5	6	2.86E-05	3.46E-07	-3.46E-07	2.80346E-06	-2.80346E-06
6.25	6	6.5	1.45E-05	1.86E-07	-1.86E-07	1.42487E-06	-1.42487E-06
6.75	6.5	7	7.72E-06	1.06E-07	-1.06E-07	7.57165E-07	-7.57165E-07
7.25	7	7.5	4.39E-06	6.55E-08	-6.55E-08	4.30656E-07	-4.30656E-07
7.75	7.5	8	2.51E-06	4.17E-08	-4.17E-08	2.45868E-07	-2.45868E-07
8.25	8	8.5	1.59E-06	2.58E-08	-2.58E-08	1.68783E-07	-1.68783E-07
8.75	8.5	9	9.76E-07	1.71E-08	-1.71E-08	1.04372E-07	-1.04E-07
9.25	9	9.5	6.14E-07	1.24E-08	-1.24E-08	6.53755E-08	-6.53755E-08
9.75	9.5	10	4.21E-07	9.13E-09	-9.13E-09	4.49117E-08	-4.49117E-08
11	10	12	1.58E-07	2.46E-09	-2.46E-09	1.81298E-08	-1.81298E-08
13	12	14	4.58E-08	1.15E-09	-1.15E-09	5.44986E-09	-5.44986E-09
15	14	16	1.47E-08	5.92E-10	-5.92E-10	1.86793E-09	-1.86793E-09
17	16	18	5.44E-09	3.82E-10	-3.82E-10	7.50565E-10	-7.50565E-10
19	18	20	2.02E-09	2.54E-10	-2.54E-10	2.97542E-10	-2.97542E-10
							
centrality	60	90  0   0					
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	0.07055408	0.001139415	-0.001139415	0.004959253	-0.004959253
1.75	1.5	2	0.01181323	0.000140166	-0.000140166	0.000871295	-0.000871295
2.25	2	2.5	0.002566871	2.63E-05	-2.63E-05	0.000201151	-0.000201151
2.75	2.5	3	0.000658858	6.21E-06	-6.21E-06	5.16289E-05	-5.16289E-05
3.25	3	3.5	0.000197337	1.78E-06	-1.78E-06	1.65549E-05	-1.65549E-05
3.75	3.5	4	6.47E-05	5.86E-07	-5.86E-07	5.83602E-06	-5.83602E-06
4.25	4	4.5	2.51E-05	2.35E-07	-2.35E-07	2.26466E-06	-2.26466E-06
4.75	4.5	5	1.03E-05	1.05E-07	-1.05E-07	9.30165E-07	-9.30165E-07
5.25	5	5.5	4.55E-06	5.48E-08	-5.48E-08	4.41686E-07	-4.41686E-07
5.75	5.5	6	2.09E-06	3.08E-08	-3.08E-08	2.02681E-07	-2.02681E-07
6.25	6	6.5	1.11E-06	1.97E-08	-1.97E-08	1.08E-07	-1.08E-07
6.75	6.5	7	5.65E-07	1.33E-08	-1.33E-08	5.49828E-08	-5.49828E-08
7.25	7	7.5	3.48E-07	9.00E-09	-9.00E-09	3.39087E-08	-3.39087E-08
7.75	7.5	8	1.86E-07	6.23E-09	-6.23E-09	1.81911E-08	-1.81911E-08
8.25	8	8.5	1.13E-07	3.36E-09	-3.36E-09	1.19988E-08	-1.19988E-08
8.75	8.5	9	6.78E-08	2.36E-09	-2.36E-09	7.23788E-09	-7.23788E-09
9.25	9	9.5	4.25E-08	1.83E-09	-1.83E-09	4.53527E-09	-4.53527E-09
9.75	9.5	10	2.94E-08	1.36E-09	-1.36E-09	3.15092E-09	-3.15092E-09
11	10	12	1.05E-08	3.86E-10	-3.86E-10	1.21266E-09	-1.21266E-09
13	12	14	2.65E-09	1.79E-10	-1.79E-10	3.23708E-10	-3.23708E-10
15	14	16	7.39E-10	1.07E-10	-1.07E-10	1.02662E-10	-1.02662E-10
