0.45	0.4	0.5	0.956	0	0	0.029	-0.029
0.55	0.5	0.6	0.672	0	0	0.02	-0.02
0.65	0.6	0.7	0.481	0	0	0.014	-0.014
0.75	0.7	0.8	0.34	0	0	0.011	-0.011
0.85	0.8	0.9	0.233	0	0	0.0081	-0.0081
0.95	0.9	1	0.169	0	0	0.0064	-0.0064
1.05	1	1.1	0.119	0	0	0.0051	-0.0051
1.15	1.1	1.2	0.0784	0	0	0.0039	-0.0039
1.25	1.2	1.3	0.0543	0	0	0.0031	-0.0031
1.35	1.3	1.4	0.0385	0	0	0.0025	-0.0025
1.45	1.4	1.5	0.0294	0	0	0.0021	-0.0021
1.55	1.5	1.6	0.021	0	0	0.0018	-0.0018
1.65	1.6	1.7	0.016	0	0	0.0015	-0.0015
1.75	1.7	1.8	0.0104	0	0	0.0012	-0.0012
1.85	1.8	1.9	0.00875	0	0	0.0011	-0.0011
1.95	1.9	2	0.00649	0	0	0.00092	-0.00092
							
centrality	70	80	16	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	0.406	0	0	0.017	-0.017
0.55	0.5	0.6	0.289	0	0	0.012	-0.012
0.65	0.6	0.7	0.188	0	0	0.008	-0.008
0.75	0.7	0.8	0.124	0	0	0.0058	-0.0058
0.85	0.8	0.9	0.0939	0	0	0.0048	-0.0048
0.95	0.9	1	0.0566	0	0	0.0035	-0.0035
1.05	1	1.1	0.044	0	0	0.003	-0.003
1.15	1.1	1.2	0.0312	0	0	0.0024	-0.0024
1.25	1.2	1.3	0.0207	0	0	0.0019	-0.0019
1.35	1.3	1.4	0.0138	0	0	0.0015	-0.0015
1.45	1.4	1.5	0.0134	0	0	0.0014	-0.0014
1.55	1.5	1.6	0.00685	0	0	0.001	-0.001
1.65	1.6	1.7	0.00562	0	0	0.00089	-0.00089
1.75	1.7	1.8	0.00419	0	0	0.00076	-0.00076
1.85	1.8	1.9	0.00339	0	0	0.00067	-0.00067
1.95	1.9	2	0.00275	0	0	0.00061	-0.00061
							
centrality	80	92	7	0			
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
0.45	0.4	0.5	0.188	0	0	0.011	-0.011
0.55	0.5	0.6	0.148	0	0	0.0078	-0.0078
0.65	0.6	0.7	0.102	0	0	0.0056	-0.0056
0.75	0.7	0.8	0.0588	0	0	0.0039	-0.0039
0.85	0.8	0.9	0.0387	0	0	0.003	-0.003
