centrality	0	10  623.9   32.2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
7.25	7	7.5	4.29E-07	2.03E-08	-2.03E-08	3.77E-08	-3.77E-08
7.75	7.5	8	2.40E-07	1.55E-08	-1.55E-08	2.11E-08	-2.11E-08
8.25	8	8.5	1.42E-07	1.08E-08	-1.08E-08	1.07E-08	-1.07E-08
8.75	8.5	9	9.80E-08	8.25E-09	-8.25E-09	7.35E-09	-7.35E-09
9.25	9	9.5	5.63E-08	6.58E-09	-6.58E-09	4.26E-09	-4.26E-09
9.75	9.5	10	4.04E-08	4.98E-09	-4.98E-09	3.27E-09	-3.27E-09
11	10	12	1.21E-08	1.24E-09	-1.24E-09	1.33E-09	-1.33E-09
13	12	14	4.45E-09	7.31E-10	-7.31E-10	7.86E-10	-7.86E-10
15	14	16	6.76E-10	3.02E-10	-3.02E-10	1.70E-10	-1.70E-10
17	16	18	3.66E-10	2.59E-10	-2.59E-10	1.20E-10	-1.20E-10
19	18	20	0	0	0	0	0
							
centrality	80	93  7   2
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
5.25	5	5.5	1.75E-06	4.29E-08	-4.29E-08	1.54E-07	-1.54E-07
5.75	5.5	6	8.51E-07	2.82E-08	-2.82E-08	7.48E-08	-7.48E-08
6.25	6	6.5	4.34E-07	1.96E-08	-1.96E-08	3.82E-08	-3.82E-08
6.75	6.5	7	2.45E-07	1.36E-08	-1.36E-08	2.15E-08	-2.15E-08
7.25	7	7.5	1.46E-07	1.02E-08	-1.02E-08	1.28E-08	-1.28E-08
7.75	7.5	8	7.73E-08	7.23E-09	-7.23E-09	6.79E-09	-6.79E-09
8.25	8	8.5	4.87E-08	5.61E-09	-5.61E-09	3.66E-09	-3.66E-09
8.75	8.5	9	2.37E-08	4.44E-09	-4.44E-09	1.78E-09	-1.78E-09
9.25	9	9.5	1.60E-08	2.83E-09	-2.83E-09	1.21E-09	-1.21E-09
9.75	9.5	10	8.47E-09	2.00E-09	-2.00E-09	6.84E-10	-6.84E-10
11	10	12	5.04E-09	6.99E-10	-6.99E-10	5.53E-10	-5.53E-10
13	12	14	9.23E-10	2.92E-10	-2.92E-10	1.63E-10	-1.63E-10
15	14	16	1.04E-10	1.04E-10	-1.04E-10	2.61E-11	-2.61E-11
17	16	18	1.41E-10	1.41E-10	-1.41E-10	4.62E-11	-4.62E-11
19	18	20	0	0	0	0	0
							
centrality	0	93  0   0
pt	ptlow	pthigh	inv.yield	stat +	stat -	sys +	sys -
5.25	5	5.5	4.04E-05	1.03E-07	-1.03E-07	3.55E-06	-3.55E-06
5.75	5.5	6	1.88E-05	6.28E-08	-6.28E-08	1.65E-06	-1.65E-06
6.25	6	6.5	9.46E-06	4.05E-08	-4.05E-08	8.32E-07	-8.32E-07
6.75	6.5	7	5.05E-06	2.74E-08	-2.74E-08	4.44E-07	-4.44E-07
7.25	7	7.5	2.82E-06	1.92E-08	-1.92E-08	2.48E-07	-2.48E-07
7.75	7.5	8	1.69E-06	1.40E-08	-1.40E-08	1.48E-07	-1.48E-07
8.25	8	8.5	1.02E-06	1.03E-08	-1.03E-08	7.66E-08	-7.66E-08
8.75	8.5	9	6.31E-07	7.76E-09	-7.76E-09	4.73E-08	-4.73E-08
9.25	9	9.5	4.07E-07	5.98E-09	-5.98E-09	3.08E-08	-3.08E-08
9.75	9.5	10	2.74E-07	4.69E-09	-4.69E-09	2.22E-08	-2.22E-08
11	10	12	1.07E-07	1.32E-09	-1.32E-09	1.18E-08	-1.18E-08
13	12	14	2.97E-08	6.59E-10	-6.59E-10	5.25E-09	-5.25E-09
15	14	16	9.45E-09	3.97E-10	-3.97E-10	2.38E-09	-2.38E-09
17	16	18	3.21E-09	2.60E-10	-2.60E-10	1.05E-09	-1.05E-09
