centrality	0	10	623.9	32.2
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-	
8.75	8.5	9	5.10E-07	3.39E-08	-3.39E-08	3.85E-08	-3.85E-08
9.25	9	9.5	3.23E-07	2.42E-08	-2.42E-08	2.59E-08	-2.59E-08
9.75	9.5	10	1.99E-07	1.94E-08	-1.94E-08	1.58E-08	-1.58E-08
11	10	12	7.29E-08	5.50E-09	-5.50E-09	6.79E-09	-6.79E-09
13	12	14	2.23E-08	2.71E-09	-2.71E-09	2.89E-09	-2.89E-09
15	14	16	6.33E-09	1.55E-09	-1.55E-09	1.07E-09	-1.07E-09

centrality	50	60	61.6	7.1				
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	3.08E-01	3.34E-03	-3.34E-03	1.82E-02	-1.82E-02
1.75	1.5	2	5.60E-02	5.47E-04	-5.47E-04	3.66E-03	-3.66E-03
2.25	2	2.5	1.18E-02	1.11E-04	-1.11E-04	8.46E-04	-8.46E-04
2.75	2.5	3	2.98E-03	2.92E-05	-2.92E-05	2.25E-04	-2.25E-04
3.25	3	3.5	8.80E-04	9.42E-06	-9.42E-06	6.89E-05	-6.89E-05
3.75	3.5	4	2.87E-04	3.56E-06	-3.56E-06	2.25E-05	-2.25E-05
4.25	4	4.5	1.09E-04	1.65E-06	-1.65E-06	8.55E-06	-8.55E-06
4.75	4.5	5	4.60E-05	8.84E-07	-8.84E-07	3.57E-06	-3.57E-06
5.25	5	5.5	2.06E-05	5.09E-07	-5.09E-07	1.58E-06	-1.58E-06
5.75	5.5	6	9.48E-06	2.85E-07	-2.85E-07	7.19E-07	-7.19E-07
6.25	6	6.5	4.65E-06	1.84E-07	-1.84E-07	3.48E-07	-3.48E-07
6.75	6.5	7	2.39E-06	9.07E-08	-9.07E-08	1.78E-07	-1.78E-07
7.25	7	7.5	1.49E-06	6.31E-08	-6.31E-08	1.12E-07	-1.12E-07
7.75	7.5	8	8.06E-07	4.85E-08	-4.85E-08	6.23E-08	-6.23E-08
8.25	8	8.5	5.29E-07	3.52E-08	-3.52E-08	3.95E-08	-3.95E-08
8.75	8.5	9	3.01E-07	2.49E-08	-2.49E-08	2.32E-08	-2.32E-08
9.25	9	9.5	1.69E-07	1.69E-08	-1.69E-08	1.35E-08	-1.35E-08
9.75	9.5	10	1.63E-07	1.68E-08	-1.68E-08	1.30E-08	-1.30E-08
11	10	12	4.94E-08	4.31E-09	-4.31E-09	4.59E-09	-4.59E-09
13	12	14	1.33E-08	2.18E-09	-2.18E-09	1.74E-09	-1.74E-09
15	14	16	6.37E-09	2.85E-09	-2.85E-09	8.96E-10	-8.96E-10

centrality	60	70	32	5
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	1.59E-01	1.76E-03	-1.76E-03	1.06E-02	-1.06E-02
1.75	1.5	2	2.81E-02	2.69E-04	-2.69E-04	1.86E-03	-1.86E-03
2.25	2	2.5	5.99E-03	5.49E-05	-5.49E-05	4.29E-04	-4.29E-04
2.75	2.5	3	1.54E-03	1.51E-05	-1.51E-05	1.16E-04	-1.16E-04
3.25	3	3.5	4.62E-04	5.16E-06	-5.16E-06	3.60E-05	-3.60E-05
3.75	3.5	4	1.54E-04	2.09E-06	-2.09E-06	1.20E-05	-1.20E-05
4.25	4	4.5	5.73E-05	1.04E-06	-1.04E-06	4.46E-06	-4.46E-06
4.75	4.5	5	2.35E-05	5.68E-07	-5.68E-07	1.81E-06	-1.81E-06
5.25	5	5.5	1.06E-05	3.14E-07	-3.14E-07	8.06E-07	-8.06E-07
5.75	5.5	6	5.26E-06	2.08E-07	-2.08E-07	3.97E-07	-3.97E-07
6.25	6	6.5	2.53E-06	1.33E-07	-1.33E-07	1.88E-07	-1.88E-07
6.75	6.5	7	1.43E-06	6.45E-08	-6.45E-08	1.07E-07	-1.07E-07
7.25	7	7.5	8.02E-07	5.07E-08	-5.07E-08	7.63E-08	-7.63E-08
7.75	7.5	8	4.27E-07	3.14E-08	-3.14E-08	3.26E-08	-3.26E-08
8.25	8	8.5	2.60E-07	2.28E-08	-2.28E-08	2.01E-08	-2.01E-08
8.75	8.5	9	1.83E-07	1.86E-08	-1.86E-08	1.42E-08	-1.42E-08
9.25	9	9.5	1.01E-07	1.28E-08	-1.28E-08	8.12E-09	-8.12E-09
9.75	9.5	10	7.58E-08	1.12E-08	-1.12E-08	6.27E-09	-6.27E-09
11	10	12	2.51E-08	2.93E-09	-2.93E-09	2.45E-09	-2.45E-09
13	12	14	7.60E-09	1.60E-09	-1.60E-09	1.04E-09	-1.04E-09

centrality	70	80	16	4				
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	7.35E-02	7.63E-04	-7.63E-04	4.52E-03	-4.52E-03
1.75	1.5	2	1.28E-02	1.21E-04	-1.21E-04	8.35E-04	-8.35E-04
2.25	2	2.5	2.77E-03	2.57E-05	-2.57E-05	1.97E-04	-1.97E-04
2.75	2.5	3	7.35E-04	7.72E-06	-7.72E-06	5.54E-05	-5.54E-05
3.25	3	3.5	2.16E-04	2.80E-06	-2.80E-06	1.68E-05	-1.68E-05
3.75	3.5	4	7.25E-05	1.23E-06	-1.23E-06	5.66E-06	-5.66E-06
4.25	4	4.5	2.80E-05	6.47E-07	-6.47E-07	2.18E-06	-2.18E-06
4.75	4.5	5	1.10E-05	3.43E-07	-3.43E-07	8.49E-07	-8.49E-07
5.25	5	5.5	5.31E-06	2.17E-07	-2.17E-07	4.05E-07	-4.05E-07
5.75	5.5	6	2.52E-06	1.40E-07	-1.40E-07	1.90E-07	-1.90E-07
6.25	6	6.5	1.28E-06	9.10E-08	-9.10E-08	9.55E-08	-9.55E-08
6.75	6.5	7	6.56E-07	6.38E-08	-6.38E-08	4.83E-08	-4.83E-08
7.25	7	7.5	3.90E-07	4.57E-08	-4.57E-08	2.84E-08	-2.84E-08
7.75	7.5	8	2.01E-07	2.19E-08	-2.19E-08	1.63E-08	-1.63E-08
8.25	8	8.5	1.08E-07	1.46E-08	-1.46E-08	8.52E-09	-8.52E-09
8.75	8.5	9	7.99E-08	1.17E-08	-1.17E-08	6.46E-09	-6.46E-09
9.25	9	9.5	4.40E-08	8.50E-09	-8.50E-09	3.61E-09	-3.61E-09
9.75	9.5	10	2.41E-08	6.03E-09	-6.03E-09	2.05E-09	-2.05E-09
11  10  12  1.00E-08    1.77E-09	-1.77E-09	1.02E-09	-1.02E-09

centrality	80	92	7	2				
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	2.96E-02	3.13E-04	-3.13E-04	1.84E-03	-1.84E-03
1.75	1.5	2	5.11E-03	4.99E-05	-4.99E-05	3.35E-04	-3.35E-04
2.25	2	2.5	1.12E-03	1.09E-05	-1.09E-05	7.98E-05	-7.98E-05
2.75	2.5	3	2.91E-04	3.44E-06	-3.44E-06	2.19E-05	-2.19E-05
3.25	3	3.5	8.64E-05	1.35E-06	-1.35E-06	6.72E-06	-6.72E-06
3.75	3.5	4	2.82E-05	6.29E-07	-6.29E-07	2.20E-06	-2.20E-06
4.25	4	4.5	1.18E-05	3.26E-07	-3.26E-07	9.11E-07	-9.11E-07
4.75	4.5	5	4.58E-06	1.87E-07	-1.87E-07	3.52E-07	-3.52E-07
5.25	5	5.5	1.85E-06	1.15E-07	-1.15E-07	1.41E-07	-1.41E-07
5.75	5.5	6	1.07E-06	7.69E-08	-7.69E-08	8.00E-08	-8.00E-08
6.25	6	6.5	4.97E-07	4.92E-08	-4.92E-08	3.70E-08	-3.70E-08
6.75	6.5	7	3.05E-07	3.90E-08	-3.90E-08	2.23E-08	-2.23E-08
7.25	7	7.5	1.16E-07	2.20E-08	-2.20E-08	8.38E-09	-8.38E-09
7.75	7.5	8	7.65E-08	1.08E-08	-1.08E-08	6.12E-09	-6.12E-09
8.25	8	8.5	6.07E-08	9.44E-09	-9.44E-09	4.84E-09	-4.84E-09
8.75	8.5	9	2.87E-08	6.19E-09	-6.19E-09	2.33E-09	-2.33E-09
9.25	9	9.5	2.25E-08	5.30E-09	-5.30E-09	1.86E-09	-1.86E-09
9.75	9.5	10	1.49E-08	4.18E-09	-4.18E-09	1.27E-09	-1.27E-09
11	10	12	3.79E-09	1.05E-09	-1.05E-09	4.93E-10	-4.93E-10

centrality	0	92	190.5444444	44.46009447				
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	8.82E-01	7.37E-03	-7.37E-03	6.27E-02	-6.27E-02
1.75	1.5	2	1.61E-01	1.14E-03	-1.14E-03	1.11E-02	-1.11E-02
2.25	2	2.5	3.38E-02	2.36E-04	-2.36E-04	2.48E-03	-2.48E-03
2.75	2.5	3	7.65E-03	5.38E-05	-5.38E-05	5.89E-04	-5.89E-04
3.25	3	3.5	2.05E-03	1.52E-05	-1.52E-05	1.63E-04	-1.63E-04
3.75	3.5	4	6.36E-04	4.95E-06	-4.95E-06	5.04E-05	-5.04E-05
4.25	4	4.5	2.19E-04	1.84E-06	-1.84E-06	1.73E-05	-1.73E-05
4.75	4.5	5	8.77E-05	8.22E-07	-8.22E-07	6.85E-06	-6.85E-06
5.25	5	5.5	3.71E-05	3.89E-07	-3.89E-07	2.86E-06	-2.86E-06
5.75	5.5	6	1.74E-05	2.14E-07	-2.14E-07	1.32E-06	-1.32E-06
6.25	6	6.5	8.74E-06	1.27E-07	-1.27E-07	6.56E-07	-6.56E-07
6.75	6.5	7	4.82E-06	6.10E-08	-6.10E-08	3.57E-07	-3.57E-07
7.25	7	7.5	2.67E-06	4.27E-08	-4.27E-08	1.96E-07	-1.96E-07
7.75	7.5	8	1.56E-06	2.79E-08	-2.79E-08	1.13E-07	-1.13E-07
8.25	8	8.5	9.58E-07	2.05E-08	-2.05E-08	6.94E-08	-6.94E-08
8.75	8.5	9	5.95E-07	1.41E-08	-1.41E-08	4.31E-08	-4.31E-08
9.25	9	9.5	3.83E-07	1.05E-08	-1.05E-08	2.81E-08	-2.81E-08
9.75	9.5	10	2.61E-07	8.85E-09	-8.85E-09	1.95E-08	-1.95E-08
11	10	12	9.56E-08	2.69E-09	-2.69E-09	8.16E-09	-8.16E-09
13	12	14	2.30E-08	1.61E-09	-1.61E-09	2.47E-09	-2.47E-09
15	14	16	8.87E-09	7.52E-10	-7.52E-10	1.15E-09	-1.15E-09
17	16	18	3.13E-09	4.55E-10	-4.55E-10	4.72E-10	-4.72E-10
19	18	20	7.51E-10	2.36E-10	-2.36E-10	1.34E-10	-1.34E-10

centrality	0	5	687.4	36.6				
pt	ptlow	pthigh	inv.yield	stat+	stat-	sys+	sys-
1.25	1	1.5	3.04E+00	6.04E-02	-6.04E-02	2.05E-01	-2.05E-01
1.75	1.5	2	5.59E-01	9.53E-03	-9.53E-03	3.91E-02	-3.91E-02
2.25	2	2.5	1.18E-01	2.01E-03	-2.01E-03	8.90E-03	-8.90E-03
2.75	2.5	3	2.27E-02	4.27E-04	-4.27E-04	1.78E-03	-1.78E-03
3.25	3	3.5	5.56E-03	1.18E-04	-1.18E-04	4.50E-04	-4.50E-04
3.75	3.5	4	1.70E-03	4.04E-05	-4.04E-05	1.38E-04	-1.38E-04
4.25	4	4.5	5.78E-04	1.57E-05	-1.57E-05	4.66E-05	-4.66E-05
4.75	4.5	5	2.33E-04	7.01E-06	-7.01E-06	1.87E-05	-1.87E-05
5.25	5	5.5	9.26E-05	3.27E-06	-3.27E-06	7.32E-06	-7.32E-06
5.75	5.5	6	4.65E-05	1.87E-06	-1.87E-06	3.66E-06	-3.66E-06
6.25	6	6.5	2.22E-05	9.21E-07	-9.21E-07	1.72E-06	-1.72E-06
6.75	6.5	7	1.30E-05	4.58E-07	-4.58E-07	9.95E-07	-9.95E-07
7.25	7	7.5	7.24E-06	2.94E-07	-2.94E-07	5.51E-07	-5.51E-07
7.75	7.5	8	4.11E-06	1.80E-07	-1.80E-07	3.12E-07	-3.12E-07
8.25	8	8.5	2.45E-06	1.26E-07	-1.26E-07	1.86E-07	-1.86E-07
8.75	8.5	9	1.49E-06	9.35E-08	-9.35E-08	1.13E-07	-1.13E-07
9.25	9	9.5	9.71E-07	7.22E-08	-7.22E-08	7.63E-08	-7.63E-08
9.75	9.5	10	7.60E-07	6.16E-08	-6.16E-08	6.14E-08	-6.14E-08
11	10	12	2.60E-07	1.85E-08	-1.85E-08	2.39E-08	-2.39E-08
13	12	14	5.42E-08	6.90E-09	-6.90E-09	7.45E-09	-7.45E-09
15	14	16	2.93E-08	5.09E-09	-5.09E-09	4.60E-09	-4.60E-09
17	16	18	8.05E-09	2.64E-09	-2.64E-09	1.66E-09	-1.66E-09
